html_filename,image1,image2,image3,image4,product_title,short_description,price,label,description2,Brand,Dimension,Bag Type,Material
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-black-leather.html,https://www.neostore.com.np/assets/uploads/322.jpg,https://www.neostore.com.np/assets/uploads/231.jpg,https://www.neostore.com.np/assets/uploads/127.jpg,https://www.neostore.com.np/assets/uploads/46.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Black Leather,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.4,000, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-blue-flower.html,https://www.neostore.com.np/assets/uploads/blue_flower_31.jpg,https://www.neostore.com.np/assets/uploads/blue_flower_21.jpg,https://www.neostore.com.np/assets/uploads/blue_flower_41.jpg,https://www.neostore.com.np/assets/uploads/blue_flower1.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Blue Flower,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-brown-leather.html,https://www.neostore.com.np/assets/uploads/129.jpg,https://www.neostore.com.np/assets/uploads/471.jpg,https://www.neostore.com.np/assets/uploads/2321.jpg,https://www.neostore.com.np/assets/uploads/32311.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Brown Leather,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.4,000, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-brown-leopard.html,https://www.neostore.com.np/assets/uploads/4.jpg,https://www.neostore.com.np/assets/uploads/121.jpg,https://www.neostore.com.np/assets/uploads/41.jpg,https://www.neostore.com.np/assets/uploads/317.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Brown Leopard,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-camallia.html,https://www.neostore.com.np/assets/uploads/camelia1.jpg,https://www.neostore.com.np/assets/uploads/camelia_41.jpg,https://www.neostore.com.np/assets/uploads/camilia1.jpg,https://www.neostore.com.np/assets/uploads/camelia1.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Camallia,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-dark-grey.html,https://www.neostore.com.np/assets/uploads/blue_41.jpg,https://www.neostore.com.np/assets/uploads/blue1.jpg,https://www.neostore.com.np/assets/uploads/blue_31.jpg,https://www.neostore.com.np/assets/uploads/blue_21.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Dark Grey,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-black.html,https://www.neostore.com.np/assets/uploads/417.jpg,https://www.neostore.com.np/assets/uploads/334.jpg,https://www.neostore.com.np/assets/uploads/141.jpg,https://www.neostore.com.np/assets/uploads/243.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Black,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-khaki.html,https://www.neostore.com.np/assets/uploads/411.jpg,https://www.neostore.com.np/assets/uploads/134.jpg,https://www.neostore.com.np/assets/uploads/327.jpg,https://www.neostore.com.np/assets/uploads/236.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Khaki,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-pink.html,https://www.neostore.com.np/assets/uploads/332.jpg,https://www.neostore.com.np/assets/uploads/241.jpg,https://www.neostore.com.np/assets/uploads/139.jpg,https://www.neostore.com.np/assets/uploads/415.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Pink,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-purple.html,https://www.neostore.com.np/assets/uploads/328.jpg,https://www.neostore.com.np/assets/uploads/135.jpg,https://www.neostore.com.np/assets/uploads/412.jpg,https://www.neostore.com.np/assets/uploads/237.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Purple,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-galaxy.html,https://www.neostore.com.np/assets/uploads/336.jpg,https://www.neostore.com.np/assets/uploads/245.jpg,https://www.neostore.com.np/assets/uploads/419.jpg,https://www.neostore.com.np/assets/uploads/143.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Galaxy,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-gray-leopard.html,https://www.neostore.com.np/assets/uploads/319.jpg,https://www.neostore.com.np/assets/uploads/123.jpg,https://www.neostore.com.np/assets/uploads/43.jpg,https://www.neostore.com.np/assets/uploads/228.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Gray Leopard,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-grey-rose.html,https://www.neostore.com.np/assets/uploads/grey_31.jpg,https://www.neostore.com.np/assets/uploads/grey_41.jpg,https://www.neostore.com.np/assets/uploads/grey_21.jpg,https://www.neostore.com.np/assets/uploads/grey1.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Grey Rose,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-pink-and-blue.html,https://www.neostore.com.np/assets/uploads/pink_5.jpg,https://www.neostore.com.np/assets/uploads/pink_4.jpg,https://www.neostore.com.np/assets/uploads/pink_51.jpg,https://www.neostore.com.np/assets/uploads/pink.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Pink and Blue,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-white-dog.html,https://www.neostore.com.np/assets/uploads/130.jpg,https://www.neostore.com.np/assets/uploads/233.jpg,https://www.neostore.com.np/assets/uploads/5.jpg,https://www.neostore.com.np/assets/uploads/48.jpg,Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve White Dog,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.3,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-black-leather.html,https://www.neostore.com.np/assets/uploads/321.jpg,https://www.neostore.com.np/assets/uploads/230.jpg,https://www.neostore.com.np/assets/uploads/126.jpg,https://www.neostore.com.np/assets/uploads/45.jpg,Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Black Leather,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.4,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-blue-flower.html,https://www.neostore.com.np/assets/uploads/blue_flower_3.jpg,https://www.neostore.com.np/assets/uploads/blue_flower_2.jpg,https://www.neostore.com.np/assets/uploads/blue_flower_4.jpg,https://www.neostore.com.np/assets/uploads/blue_flower.jpg,Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Blue Flower,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.4,000, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-brown-leather.html,https://www.neostore.com.np/assets/uploads/128.jpg,https://www.neostore.com.np/assets/uploads/47.jpg,https://www.neostore.com.np/assets/uploads/323.jpg,https://www.neostore.com.np/assets/uploads/2322.jpg,Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Brown Leather,"The real 360° protective laptop sleeve :Full shockproof cushion design from Kinmac protect your laptop from any angle‘s drop The retractable handle design is comfortable to carry laptop Extra Pocket with zipper can hold mouse, cables, power, chargers, mobile phone and so on Waterproof fabric can effectively prevent your device from water and rain. Soft and fluffy interior avoid your laptop from scratching","Current Price: Rs.4,500, Original Price: Rs.",,About Kinmac Why Kinmac?,,,,
